google/guava	v33.6.0	pom.xml	java
google/ksp	2.3.11	build.gradle.kts	kotlin
goreleaser/goreleaser	v2.17.1	go.sum	go
grafana/grafana	v13.1.3	yarn.lock	go
groue/GRDB.swift	v7.11.1	Package.swift	swift
grpc/grpc-go	v1.83.0	go.sum	go
grpc/grpc-java	v1.83.1	build.gradle	polyglot
grpc/grpc	v1.83.0	requirements.txt	cpp
gruntwork-io/terragrunt	v1.1.2	go.sum	terraform
guzzle/guzzle	8.0.2	composer.json	php
hashicorp/terraform-provider-aws	v6.58.0	go.sum	terraform
hashicorp/terraform-provider-azurerm	v5.0.1	go.sum	terraform
hashicorp/terraform	v1.15.8	go.sum	go
hashicorp/vault	v2.0.4	go.sum	polyglot
haskell-servant/servant	servant-0.20.3.0	stack.yaml.lock	haskell
haskell/aeson	v2.3.1.0		haskell
haskell/cabal	Cabal-v3.18.1.0	stack.yaml	other
haskell/haskell-language-server	2.14.0.0	stack.yaml	haskell
haskellari/postgresql-simple	v0.7.0.1		haskell
hasura/graphql-engine	v2.50.0	yarn.lock	polyglot
heartcombo/devise	v5.0.4	Gemfile.lock	ruby
helix-editor/helix	25.07.1	Cargo.lock	rust
hexops/mach	v0.5.0		zig
home-assistant/core	2026.8.1	requirements.txt	python
honojs/hono	v4.13.1	bun.lock	javascript
houseabsolute/DateTime.pm	v1.66		perl
http4s/http4s	v0.23.36	build.sbt	scala
huggingface/transformers	v5.15.0	pyproject.toml	python
iluwatar/java-design-patterns	1.25.0	pom.xml	java
immich-app/immich	v3.1.0	pnpm-lock.yaml	polyglot
inaka/elvis	5.0.4	rebar.lock	erlang
influxdata/telegraf	v1.39.2	go.sum	go
invertase/react-native-firebase	v26.1.0	yarn.lock	dart
iptv-org/iptv	@default	package-lock.json	javascript
istio/istio	1.30.3	go.sum	go
janestreet/core	113.33.03		ocaml
jekyll/jekyll	v4.4.1		ruby
jellyfin/jellyfin	v10.11.11	Jellyfin.sln	dotnet
jenkinsci/jenkins	jenkins-2.576	yarn.lock	java
jesseduffield/lazygit	v0.64.0	go.sum	go
jestjs/jest	v30.4.2	yarn.lock	javascript
jgm/pandoc	3.10.1	stack.yaml	haskell
junegunn/fzf	v0.74.2	go.sum	go
junit-team/junit5	@default	build.gradle.kts	java
karlseguin/http.zig	@default		zig
kean/Nuke	13.1.0	Package.swift	swift
keycloak/keycloak	26.7.1	pom.xml	java
koalaman/shellcheck	v0.11.0	stack.yaml	haskell
kristoff-it/zine	v0.13.0		zig
ktorio/ktor	3.5.2	build.gradle.kts	kotlin
kubernetes-sigs/cluster-api	v1.13.4	go.sum	terraform
kubernetes/kubernetes	v1.36.3	go.sum	go
langchain-ai/langchain	v0.1.16	poetry.lock	python
langflow-ai/langflow	v1.11.3	uv.lock	python
langgenius/dify	1.16.1	pnpm-lock.yaml	javascript
laravel/framework	v13.24.0	composer.json	php
laravel/laravel	v13.8.0	package.json	php
libgit2/libgit2	v1.9.6	package.json	cpp
libwww-perl/libwww-perl	v6.83		perl
livebook-dev/livebook	v0.19.9	mix.lock	elixir
localsend/localsend	v1.17.0	app/pubspec.lock	dart
locustio/locust	2.46.3	uv.lock	python
lodash/lodash	4.18.1	package-lock.json	javascript
lunarmodules/busted	v2.3.0		lua
lunarmodules/luasocket	v3.1.0	luasocket.sln	lua
luvit/luvit	2.18.1		lua
magento/magento2	2.4.9	composer.lock	php
mastodon/mastodon	v4.6.5	yarn.lock	ruby
meilisearch/meilisearch	v1.53.0	Cargo.lock	rust
metabase/metabase	v1.52.2.5	yarn.lock	clojure
metacpan/metacpan-web	v1.0.0		perl
microsoft/PowerToys	v0.101.2211.0	src/common/Common.Search/Common.Search.csproj	dotnet
microsoft/TypeScript	v6.0.3	package-lock.json	javascript
microsoft/markitdown	v0.1.7	packages/markitdown-mcp/pyproject.toml	python
microsoft/terminal	1904.29002	samples/ReadConsoleInputStream/ReadConsoleInputStreamDemo.sln	cpp
microsoft/vcpkg	2026.07.29	scripts/azure-pipelines/owners-db/package-lock.json	cpp
microsoft/vscode	v14	yarn.lock	polyglot
minio/minio	RELEASE.2025-10-15T17-29-55Z	go.sum	go
mirage/mirage	v4.11.2		ocaml
